ID,Project,Group,Task,Implementation,Activity,Requires,Priority,Urgency,Importance,Effort,Who,DateAssigned,DateStarted,DateCompleted,DateDue
derive,Task List,Interfaces,Load and save,CSV,,,derive,,,,,,,,
,Task List,Interfaces,Load and save,Jira,,,,,,,,,,,
,Task List,Interfaces,Load and save,Database,,,,,,,,,,,
,Task List,Interfaces,Add task,R function,,,,,,,,,,,
,Task List,Interfaces,Add task,Outlook email,,,,,,,,,,,
,Task List,Interfaces,Add task,Outlook task,,,,,,,,,,,
,Task List,Interfaces,Add task,SMTP/iMAP,,,,,,,,,,,
,Task List,Interfaces,Add task,Rshiny,,,,,,,,,,,
,Task List,Interfaces,Add task,Confluence,,,,,,,,,,,
,Task List,Basic functions,New task,R functions,,,,,,,,,,,
,Task List,Basic functions,Add task,R functions,,,,,,,,,,,
,Task List,Basic functions,Group task,R functions,,,,,,,,,,,
,Task List,Basic functions,Prioritise task,R functions,,,,,,,,,,,
,Task List,Basic functions,Schedulue task,R functions,,,,,,,,,,,
,Task List,Basic functions,Update task,R functions,,,,,,,,,,,
,Task List,Basic functions,Complete task,R functions,,,,,,,,,,,
,Task List,Basic functions,Archive tasks,R functions,,,,,,,,,,,
,Task List,UI,Basic functions,R functions,,,,,,,,,,,
,Task List,UI,Basic functions,R Script,,,,,,,,,,,
,Task List,UI,Basic functions,R Shiny,,,,,,,,,,,
,Task List,UI,Basic functions,Jira,,,,,,,,,,,
,Task List,UI,Basic functions,Outlook,,,,,,,,,,,
,Task List,UI,Basic functions,Excel,,,,,,,,,,,
,Task List,Reporting,Project Gant and milestones,,,,,,,,,,,,
,Task List,Reporting,Generate timesheet,,,,,,,,,,,,
,Task List,Reporting,Generate weekly report,,,,,,,,,,,,
